amfi_code,date,nav,normalized_nav
100016,2022-01-03,520.4608,100.0
100016,2022-01-04,515.0971,98.96943247214776
100016,2022-01-05,521.7239,100.24268878655222
100016,2022-01-06,515.788,99.1021802218342
100016,2022-01-07,515.1639,98.98226725240403
100016,2022-01-10,510.7136,98.12719805218761
100016,2022-01-11,513.5542,98.67298363296526
100016,2022-01-12,512.3195,98.43575154939622
100016,2022-01-13,510.2445,98.03706638425028
100016,2022-01-14,514.3636,98.82849966798653
100016,2022-01-17,514.7627,98.90518171589486
100016,2022-01-18,517.3803,99.40812065000863
100016,2022-01-19,513.1866,98.60235391407001
100016,2022-01-20,507.1294,97.43853907921596
100016,2022-01-21,507.871,97.58102819655198
100016,2022-01-24,506.7062,97.35722651926909
100016,2022-01-25,509.7762,97.94708842625613
100016,2022-01-26,509.68,97.92860480558767
100016,2022-01-27,510.8661,98.15649901010798
100016,2022-01-28,503.8641,96.81115273234796
100016,2022-01-31,512.5903,98.48778236516564
100016,2022-02-01,512.1124,98.39595988785324
100016,2022-02-02,515.5386,99.05426114704508
100016,2022-02-03,512.0153,98.3773033434987
100016,2022-02-04,513.6729,98.69579034578591
100016,2022-02-07,508.0666,97.61861027766166
100016,2022-02-08,510.3595,98.05916218858367
100016,2022-02-09,509.0223,97.80223601854358
100016,2022-02-10,509.4161,97.87789973807826
100016,2022-02-11,512.826,98.53306915717765
100016,2022-02-14,507.5435,97.51810318855907
100016,2022-02-15,504.7492,96.98121357074348
100016,2022-02-16,507.0506,97.42339864981187
100016,2022-02-17,516.7872,99.29416394087701
100016,2022-02-18,516.4246,99.2244949091267
100016,2022-02-21,519.3918,99.79460508841397
100016,2022-02-22,519.1698,99.75195057917908
100016,2022-02-23,528.4118,101.52768469786776
100016,2022-02-24,520.6004,100.02682238508646
100016,2022-02-25,521.3038,100.16197185263522
100016,2022-02-28,514.1489,98.78724776198324
100016,2022-03-01,503.1674,96.6772905855734
100016,2022-03-02,504.7495,96.98127121197217
100016,2022-03-03,505.6316,97.15075563808072
100016,2022-03-04,504.6233,96.95702346843413
100016,2022-03-07,504.411,96.91623269226041
100016,2022-03-08,518.6513,99.65232732224983
100016,2022-03-09,517.7387,99.4769827045572
100016,2022-03-10,520.3416,99.97709721846488
100016,2022-03-11,517.6372,99.45748075551512
100016,2022-03-14,519.2545,99.7682246194142
100016,2022-03-15,518.432,99.6101915840732
100016,2022-03-16,516.825,99.3014267356927
100016,2022-03-17,525.4534,100.95926532795553
100016,2022-03-18,531.2109,102.06549657534248
100016,2022-03-21,532.1264,102.24139839157915
100016,2022-03-22,521.6911,100.23638667888149
100016,2022-03-23,520.3011,99.96931565259095
100016,2022-03-24,533.1283,102.43390088168023
100016,2022-03-25,532.3194,102.27848091537346
100016,2022-03-28,537.8012,103.33173987358894
100016,2022-03-29,544.965,104.70817398735892
100016,2022-03-30,546.3002,104.96471588254101
100016,2022-03-31,542.5392,104.24208701212466
100016,2022-04-01,531.285,102.07973395883035
100016,2022-04-04,534.7762,102.75052415090629
100016,2022-04-05,531.2213,102.06749480460392
100016,2022-04-06,532.3217,102.27892283146012
100016,2022-04-07,526.7582,101.20996624529648
100016,2022-04-08,525.7986,101.0255911684415
100016,2022-04-11,526.2264,101.10778756056173
100016,2022-04-12,527.7466,101.39987488010624
100016,2022-04-13,522.8529,100.45961194387742
100016,2022-04-14,528.6739,101.57804391800498
100016,2022-04-15,526.1696,101.09687415459531
100016,2022-04-18,518.7241,99.66631492708001
100016,2022-04-19,518.493,99.62191196724136
100016,2022-04-20,518.9178,99.70353194707461
100016,2022-04-21,519.9214,99.89636107080496
100016,2022-04-22,526.4763,101.15580270406535
100016,2022-04-25,525.6507,100.99717404269448
100016,2022-04-26,525.3674,100.94274150906276
100016,2022-04-27,520.5493,100.01700416246528
100016,2022-04-28,524.6005,100.79539131477337
100016,2022-04-29,525.7251,101.01146906741106
100016,2022-05-02,524.0515,100.68990786626006
100016,2022-05-03,515.5881,99.0637719497799
100016,2022-05-04,522.4674,100.38554296500332
100016,2022-05-05,517.1078,99.35576320060993
100016,2022-05-06,514.6837,98.89000285900497
100016,2022-05-09,516.5793,99.25421856939083
100016,2022-05-10,511.4204,98.26300078699491
100016,2022-05-11,504.9889,97.02726891247141
100016,2022-05-12,495.8735,95.27585939229238
100016,2022-05-13,499.2941,95.93308468188191
100016,2022-05-16,497.1556,95.52219878999534
100016,2022-05-17,510.4206,98.0709017854947
100016,2022-05-18,506.2251,97.26478920218392
100016,2022-05-19,502.3871,96.52736574973562
100016,2022-05-20,500.1462,96.09680498512088
100016,2022-05-23,501.4785,96.35278968175895
100016,2022-05-24,499.6609,96.00356069083398
100016,2022-05-25,502.6257,96.57320974029169
100016,2022-05-26,498.5637,95.79274750375053
100016,2022-05-27,492.78,94.68148225572416
100016,2022-05-30,485.277,93.23987512604216
100016,2022-05-31,476.0989,91.4764185890657
100016,2022-06-01,474.1732,91.10641954206736
100016,2022-06-02,473.1602,90.91178432650452
100016,2022-06-03,470.7754,90.4535749858587
100016,2022-06-06,476.2119,91.49813011854113
100016,2022-06-07,481.6458,92.54218569390818
100016,2022-06-08,480.4735,92.31694298590789
100016,2022-06-09,473.1759,90.9148008841396
100016,2022-06-10,471.0598,90.50821887066232
100016,2022-06-13,468.8163,90.07715854873221
100016,2022-06-14,466.3477,89.60284809153734
100016,2022-06-15,463.7261,89.09914060770764
100016,2022-06-16,461.2993,88.6328614950444
100016,2022-06-17,459.9666,88.37679994343476
100016,2022-06-20,457.6317,87.92817826049533
100016,2022-06-21,458.7099,88.13534083642803
100016,2022-06-22,460.4075,88.46151333587468
100016,2022-06-23,456.9604,87.79919640441702
100016,2022-06-24,462.3501,88.8347595054229
100016,2022-06-27,458.6076,88.11568517744277
100016,2022-06-28,452.344,86.91221317724602
100016,2022-06-29,454.0998,87.24956807505964
100016,2022-06-30,451.0707,86.66756458891814
100016,2022-07-01,452.584,86.95832616020266
100016,2022-07-04,443.3196,85.1782881631047
100016,2022-07-05,449.0289,86.2752583864145
100016,2022-07-06,451.9322,86.83309098398958
100016,2022-07-07,446.2213,85.7358133407934
100016,2022-07-08,440.6669,84.66860520523353
100016,2022-07-11,447.4448,85.97089348515777
100016,2022-07-12,444.7739,85.45771362607906
100016,2022-07-13,441.7416,84.87509530016479
100016,2022-07-14,433.2246,83.23866081749097
100016,2022-07-15,432.1093,83.02436994294288
100016,2022-07-18,431.4649,82.9005565837043
100016,2022-07-19,434.4201,83.46836111384374
100016,2022-07-20,429.3142,82.4873266151841
100016,2022-07-21,423.8151,81.43074367944713
100016,2022-07-22,425.7236,81.79743796266693
100016,2022-07-25,429.7419,82.56950379356141
100016,2022-07-26,424.047,81.475300349229
100016,2022-07-27,428.3319,82.29859001869114
100016,2022-07-28,428.6948,82.36831669167015
100016,2022-07-29,433.0659,83.20816860751088
100016,2022-08-01,433.0211,83.19956085069231
100016,2022-08-02,423.7137,81.41126094414797
100016,2022-08-03,423.3646,81.34418576768894
100016,2022-08-04,427.5619,82.15064419837191
100016,2022-08-05,424.424,81.54773615995671
100016,2022-08-08,423.1925,81.31111891616045
100016,2022-08-09,422.7537,81.22680901232138
100016,2022-08-10,412.293,79.21691700892748
100016,2022-08-11,418.6311,80.43470324758368
100016,2022-08-12,415.5307,79.83900036275547
100016,2022-08-15,417.6036,80.23728203930057
100016,2022-08-16,417.4997,80.21731896042891
100016,2022-08-17,422.3739,81.15383521679252
100016,2022-08-18,424.1079,81.48700151865424
100016,2022-08-19,423.4485,81.36030609798088
100016,2022-08-22,420.3416,80.76335431986425
100016,2022-08-23,423.5281,81.37560023732816
100016,2022-08-24,416.803,80.08345681365437
100016,2022-08-25,419.4003,80.58249535795973
100016,2022-08-26,415.5691,79.84637844002853
100016,2022-08-29,420.401,80.77476728314602
100016,2022-08-30,421.2166,80.93147457022701
100016,2022-08-31,423.8348,81.43452878679817
100016,2022-09-01,424.3603,81.53549700573032
100016,2022-09-02,418.068,80.32651066132166
100016,2022-09-05,415.1206,79.76020480312832
100016,2022-09-06,417.805,80.27597851749834
100016,2022-09-07,418.6355,80.43554865227122
100016,2022-09-08,423.2368,81.31963060426453
100016,2022-09-09,424.9639,81.65147115786627
100016,2022-09-12,421.5737,81.00008684611791
100016,2022-09-13,418.8403,80.47489839772757
100016,2022-09-14,419.437,80.58954680160352
100016,2022-09-15,411.1759,79.00228028700722
100016,2022-09-16,417.5046,80.21826043383095
100016,2022-09-19,419.3505,80.57292691399623
100016,2022-09-20,424.1319,81.49161281694991
100016,2022-09-21,418.4765,80.40499880106245
100016,2022-09-22,423.3133,81.33432911758197
100016,2022-09-23,431.9494,82.99364716804803
100016,2022-09-26,427.1671,82.07478834140824
100016,2022-09-27,430.305,82.67769637982343
100016,2022-09-28,430.5313,82.72117708000296
100016,2022-09-29,424.9261,81.6442083630506
100016,2022-09-30,426.9974,82.04218261970931
100016,2022-10-03,430.3701,82.6902045264504
100016,2022-10-04,428.3154,82.29541975111287
100016,2022-10-05,432.9656,83.18889722338359
100016,2022-10-06,426.8679,82.01730082265563
100016,2022-10-07,421.495,80.98496563045671
